name,formula,REF_mean,REF_std,T33_mean,T33_std,T36_mean,T36_std,T38_mean,T38_std,O200_mean,O200_std,O400_mean,O400_std,O600_mean,O600_std,E20_mean,E20_std,E40_mean,E40_std,E60_mean,E60_std
C16:0 chain,C16H32O2,0.00808584,0.000323502,0.00650648,3.12212E-05,0.00793538,0.000578658,0.00793538,0.000578658,0.008490226,0.000561266,0.007972575,0.000937892,0.008661924,0.001081167,0.007888232,0.000880022,0.005103593,0.000777656,0.004599732,0.000116741
C16:1 chain,C16H30O2,0.02373021,0.00114861,0.018382829,0.000111825,0.020503621,0.0011998,0.020503621,0.0011998,0.025036558,0.001454979,0.024530523,0.003327246,0.028242067,0.002803829,0.025323947,0.000649321,0.019591434,0.001866523,0.015058407,0.000982961
C18:0 chain,C18H36O2,0.002266316,0.000943362,0.002015472,0.000544007,0.002333406,0.000204365,0.002333406,0.000204365,0.003011896,0.000498543,0.001923378,0.000201722,0.00196882,0.000322499,0.003317089,0.000113237,0.003214894,0.000511656,0.005766674,0.001302281
C18:1 chain,C18H34O2,0.008706639,0.000482425,0.008283288,0.001400949,0.009888865,0.000966767,0.009888865,0.000966767,0.003923931,0.000233327,0.008704012,0.001478223,0.008879214,0.001064919,0.015722896,0.000483739,0.018838599,0.001974633,0.022169301,0.00074681
C24:0 chain,C24H48O2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C26:0 chain,C26H52O2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
