,BY4741_24ave,BY4741_24std,BY4741_37ave,BY4741_37std,elo1_24ave,elo1_24std,elo1_37ave,elo1_37std,elo2_24ave,elo2_24std,elo2_37ave,elo2_37std,elo3_24ave,elo3_24std,elo3_37ave,elo3_37std
TAG 12:0-14:1-16:1,0.030568242,0.009517803,0,0,0.044032868,0.008476102,0,0,0,0,0,0,0.04011415,0.002831324,0,0
TAG 12:0-12:0-18:1,0.007499543,0.000758751,0,0,0.016367474,0.000208316,0,0,0.004780305,0.000417465,0,0,0.010079811,0.00103271,0,0
TAG 12:0-14:0-16:1,0.132488283,0.013404241,0,0,0.112761743,0.001435169,0,0,0.054789645,0.004784786,0.001985773,0.002808307,0.057728871,0.005914511,0,0
TAG 12:0-14:0-16:0,0.073779177,0.00016113,0,0,0.055911778,0.003540375,0,0,0.034945062,0.000571953,0,0,0.001101471,0.001557715,0,0
TAG 12:1-16:1-16:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAG 12:0-16:1-16:1,0.107667457,0.001674977,0,0,0.173656571,0.000716924,0,0,0.062582417,0.009688028,0,0,0.111527738,0.002402413,0,0
TAG 12:0-16:0-16:1,0.211592654,0.002475929,0,0,0.242891577,0.017199899,0,0,0.131407287,0.004526487,0.016981175,0.002956262,0.093770343,0.004518202,0.014997239,0.008137084
TAG 12:0-16:0-16:0,0.096425679,0.000181572,0.003027191,0.004281095,0.087930573,0.002015581,0,0,0.071668544,0.000943048,0.00972563,0.000996387,0,0,0.003581244,0.000781221
TAG 14:1-16:1-16:1,0.017301816,0.000142183,0,0,0.067166317,0.012104222,0,0,0.002173749,0.003074145,0,0,0.037749553,0.001903199,0,0
TAG 14:0-16:1-16:1,0.190175677,0.004581649,0,0,0.323011977,0.018558918,0.032714256,0.001179151,0.114565299,0.015205078,0.002661635,0.00376412,0.142769784,0.002282198,0.025869995,0.036585698
TAG 12:0-16:1-18:1,0.030391186,0.000732174,0,0,0.069276261,0.003980324,0,0,0.037204209,0.004937733,0.000887031,0.001254451,0.02359641,0.000377192,0,0
TAG 14:0-16:0-16:1,0.165284449,0.008623712,0.006641564,0.000273867,0.221604071,0.007991394,0.045732002,0.003736435,0.12296531,0.016145979,0.014784322,0.001025351,0.062760557,0.004690683,0.041606959,0.004403615
TAG 12:0-16:0-18:1,0.038800877,0.002024435,0,0,0.049447231,0.001783145,0.007446473,0.000608398,0.038764245,0.005089945,0.005842263,0.000405184,0.012319044,0.000920717,0.007617991,0.000806276
TAG 14:0-16:0-16:0,0.014659814,0.004554193,0,0,0.031116426,0.002987094,0,0,0.02186068,0.018562574,0,0,0,0,0,0
TAG 16:1-16:1-16:1,0.607868275,0.019750793,0.083778996,0.001834038,1.020327431,0.051231672,0.057258021,0.002455672,0.345391259,0.011874186,0.1080479,0.014654921,0.337924563,0.006678097,0.22008299,0.015357681
TAG 14:1-16:1-18:1,0.015129459,0.000491585,0,0,0.050328131,0.002527026,0.001815096,7.78E-05,0.01661121,0.000571076,0,0,0.019125187,0.000377954,0,0
TAG 16:0-16:1-16:1,0.794895611,0.036367138,0.230113299,0.014209297,0.839537162,0.054942708,0.143008311,0.003619451,0.488340773,0.001599557,0.199690975,0.013142349,0.244837288,0.017125697,0.297591931,0.012510146
TAG 14:0-16:1-18:1,0.082362155,0.003768137,0.012354963,0.000762908,0.158275281,0.010358175,0.037619049,0.000952115,0.085628204,0.000280475,0.015488237,0.001019334,0.044407229,0.003106164,0.025465946,0.001070535
TAG 16:0-16:0-16:1,0.291100607,0.002519687,0.13550323,0.015525045,0.258481372,0.002624743,0.075920906,0.005952466,0.206477345,0.013008179,0.121120643,0.006970009,0.062545102,0.005060847,0.127107945,0.001716919
TAG 14:0-16:0-18:1,0.042337122,0.000366458,0.010452387,0.001197564,0.069640558,0.000707163,0.027897177,0.002187237,0.053668691,0.003381155,0.011321875,0.000651529,0.016971664,0.001373265,0.017520512,0.00023666
TAG 12:0-14:1-22:0,0.003771806,3.26E-05,0,0,0.011082176,0.000112534,0,0,0.004913566,0.000309557,0,0,0.0043574,0.00035258,0,0
