name,formula,REF,T33,T36,T38,O200,O400,O600,E20,E40,E60
C16:0 chain,C16H32O2,0.00808584,0.00650648,0.00793538,0.00793538,0.008490226,0.007972575,0.008661924,0.007888232,0.005103593,0.004599732
C16:1 chain,C16H30O2,0.02373021,0.018382829,0.020503621,0.020503621,0.025036558,0.024530523,0.028242067,0.025323947,0.019591434,0.015058407
C18:0 chain,C18H36O2,0.002266316,0.002015472,0.002333406,0.002333406,0.003011896,0.001923378,0.00196882,0.003317089,0.003214894,0.005766674
C18:1 chain,C18H34O2,0.008706639,0.008283288,0.009888865,0.009888865,0.003923931,0.008704012,0.008879214,0.015722896,0.018838599,0.022169301
C24:0 chain,C24H48O2,0,0,0,0,0,0,0,0,0,0
C26:0 chain,C26H52O2,0,0,0,0,0,0,0,0,0,0
